Country,Year,Employment,Employment females,Employment females as % of employment,Employment in agriculture,Employment in agriculture as % of employment,"Employment in agriculture, index",Employment in industry,Employment in industry as % of employment,"Employment in industry, index",Employment in services,Employment in services as % of employment,"Employment in services, index",Employment males,Employment males as % of employment,"Employment, index",Females self-employment % fem employment,Females unemployment % of fem lab force,Labour force,Labour force females,Labour force males,"Labour force, index",Males self-employment % mal employment,Males unemployment % of mal lab force,Rate of Unemployment as % of Labour Force,Self-employment,Self-employment % of employment,Unemployment,"Unemployment females , (‘000)","Unemployment males , (‘000)"
Australia,2005,9880.634,4437.336,44.90943,352.725,3.569862,113.4131,2147.597,21.73542,90.77785,7380.312,74.69472,81.19613,5443.297,55.09057,83.97424,9.622665,5.22245,10404.22,4681.721,5722.503,83.07078,15.02158,4.879681,5.033881,1244.659,12.59696,523.5905,244.3844,279.2061
Australia,2006,10124.23,4564.704,45.08694,344.181,3.399578,110.6659,2219.156,21.91926,93.80261,7560.891,74.68116,83.18281,5559.523,54.91306,86.04451,9.061043,4.92522,10632.72,4800.993,5831.723,84.89513,14.57554,4.669972,4.78524,1223.94,12.08922,508.4875,236.2885,272.199
Australia,2007,10434.27,4701.819,45.06132,345.593,3.312096,111.1199,2279.952,21.85062,96.37243,7808.724,74.83729,85.9094,5732.45,54.93868,88.67951,8.767029,4.787311,10911.88,4938.061,5973.816,87.12405,14.08298,4.041836,4.379151,1219.51,11.68754,477.6078,236.2412,241.3666
Australia,2008,10731.17,4850.724,45.20219,344.739,3.212502,110.8453,2395.745,22.32511,101.2669,7990.686,74.46239,87.9113,5880.447,54.79781,91.20284,8.748025,4.571883,11205.63,5083.037,6122.598,89.46951,13.71566,3.954261,4.23433,1230.884,11.47018,474.4643,232.3131,242.1512
Australia,2009,10805.58,4926.391,45.59119,348.493,3.225122,112.0524,2352.949,21.77532,99.45798,8104.134,74.99956,89.15942,5879.186,54.40881,91.83521,8.658227,5.399816,11441.82,5207.658,6234.16,91.35527,13.91933,5.694293,5.560385,1244.881,11.52073,636.2413,281.2672,354.9741
Australia,2010,11022.24,5000.834,45.37038,355.062,3.221323,114.1645,2388.859,21.67307,100.9759,8278.322,75.10561,91.07579,6021.409,54.62962,93.67663,8.799305,5.377285,11628.23,5284.923,6343.306,92.84364,13.77405,5.076458,5.21334,1269.43,11.51699,605.9849,284.0884,321.8965
Australia,2011,11213.82,5105.946,45.53263,315.192,2.810747,101.345,2406.898,21.46368,101.7384,8491.727,75.72557,93.4236,6107.871,54.46737,95.30478,8.509249,5.304792,11814.1,5391.932,6422.17,94.32771,13.2206,4.893791,5.081195,1241.975,11.0754,600.2853,285.9859,314.2995
Australia,2012,11350.8,5187.249,45.69941,317.115,2.793767,101.9633,2430.992,21.41692,102.7568,8602.695,75.78931,94.64445,6163.553,54.30059,96.46901,8.21339,5.325491,11976.4,5479.015,6497.384,95.62354,12.21689,5.13732,5.223376,1179.043,10.38731,625.5963,291.7654,333.8308
Australia,2013,11456.71,5256.074,45.8777,299.287,2.612329,96.23098,2410.082,21.03642,101.873,8747.34,76.35124,96.23579,6200.635,54.1223,97.36909,7.907207,5.609225,12144.32,5568.422,6575.896,96.96426,11.97545,5.706582,5.66194,1158.162,10.10903,687.6083,312.3473,375.261
Australia,2014,11540.16,5308.238,45.99796,323.266,2.801226,103.941,2422.363,20.99072,102.3921,8794.532,76.20805,96.755,6231.923,54.00204,98.07835,8.014745,6.17203,12286.8,5657.377,6629.424,98.1019,12.05244,5.996284,6.077244,1176.541,10.19518,746.6392,349.1385,397.5007
Australia,2015,11766.27,5439.183,46.22692,311.009,2.643225,100,2365.772,20.10639,100,9089.487,77.25038,100,6327.085,53.77308,100,8.189193,6.076174,12524.53,5790.826,6733.703,100,12.13235,6.039518,6.056423,1213.049,10.30955,758.2614,351.6434,406.618
